"advertiserId";"programmeName";"conversionRate";"approvalRate";"epc";"launchDate";"paymentStatus";"paymentRiskLevel";"awinIndex";"feedEnabled";"productReporting";"commissionMin";"commissionMax";"leadMin";"leadMax";"cookieLength";"parentSectors";"subSectors";"primarySector";"averagePaymentTime";"primaryRegion";"descriptionShort";"logoUrl";"displayUrl"
"122836";"Farmácias Indiana BR";"10.4806";"94.28";"0.52";"2026-02-23";"amber";"exposurelevel2";"79.1449";"no";"no";"0";"0";"0";"0";"30";"";"";"";"64";"BR";"A Farmácia Indiana é uma rede brasileira de farmácias que oferece medicamentos, produtos de saúde, beleza e bem-estar com atendimento próximo e preços competitivos.";"https://ui.awin.com/images/upload/merchant/profile/122836.png";"https://www.farmaciaindiana.com.br/"
"109198";"Giuliana Flores BR";"3.21946";"85.23";"0.19";"2025-02-20";"amber";"exposurelevel2";"0";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Gifts & Flowers|Home & Garden";"Gifts & Flowers";"104";"BR";"A empresa Giuliana Flores está no mercado floral a mais de duas décadas. Fundada em 1990 nossa empresa é a maior floricultura do Brasil e da América Latina, referência para quem procura produtos que agreguem elegância e bom gosto.";"https://ui.awin.com/images/upload/merchant/profile/109198.png";"https://www.giulianaflores.com.br/"
"100453";"Casa Tema BR";"11.63";"98.43";"8.26";"2024-08-26";"amber";"exposurelevel2";"74.451";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Department Stores|Furniture & Soft Furnishings";"Department Stores";"105";"BR";"Atualmente a Casatema é a primeira loja online do Brasil especializada na venda de ambientes completos infantis, juvenis e de bebês.";"https://ui.awin.com/images/upload/merchant/profile/100453.png";"https://www.casatema.com.br/"
"123238";"Afiliados Galícia Educação";"5.71429";"100.00";"2.61";"2026-01-12";"amber";"exposurelevel2";"78.3088";"yes";"no";"0";"0";"0";"0";"30";"Telco's & Services";"Education Training & Recruitment";"Education, Training & Recruitment";"null";"BR";"Promova MBAs e Certificações de elite com aplicação prática via Inteligência Artificial. Alta conversão e ticket médio atrativo. Junte-se à revolução da educação executiva e monetize sua audiência com a Galicia Educação.";"https://ui.awin.com/images/upload/merchant/profile/123238.png";"https://gestao.galiciaeducacao.com.br"
"17884";"Grupo A BR";"10.9454";"92.65";"0.84";"2020-06-15";"amber";"exposurelevel2";"89.1089";"yes";"yes";"0";"0";"0";"0";"60";"Retail & Shopping";"Books & Subscriptions";"Books & Subscriptions";"59";"BR";"O Grupo A está preparado para ajudar pessoas e instituições a encontrarem respostas para os desafios da educação.";"https://ui.awin.com/images/upload/merchant/profile/17884.png";"https://loja.grupoa.com.br/"
"17912";"Dentro da Historia BR";"5.61335";"86.73";"0.67";"2020-08-03";"amber";"exposurelevel2";"79.3751";"no";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Books & Subscriptions";"Books & Subscriptions";"59";"BR";"A editora Dentro da Historia é um e-commerce infantil formada por experientes designers, professores, nerds e profissionais de comunicação.que buscam fazer um produto único que crie uma incrível  jornada de socialização e identificação para crianças,pais";"https://ui.awin.com/images/upload/merchant/profile/17912.png";"https://www.dentrodahistoria.com.br"
"124520";"Guess BR";"7.43271";"57.45";"4.20";"2026-04-28";"amber";"exposurelevel2";"63.0368";"yes";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Clothing|Clothing Accessories|Womenswear";"Clothing";"null";"BR";"A Guess é uma marca global de moda conhecida por seu estilo jovem, sensual e contemporâneo, especialmente em jeans, roupas e acessórios.";"https://ui.awin.com/images/upload/merchant/profile/124520.png";"https://www.guessbrasil.com.br/"
"124930";"Ivan Joias BR";"25";"25.00";"4.90";"2026-03-25";"amber";"exposurelevel2";"35.74";"yes";"yes";"0";"0";"0";"0";"30";"";"";"";"null";"BR";"Ivan Joias é uma joalheria brasileira com presença nos principais shoppings de Salvador e e-commerce nacional.Trabalhamos com joias em ouro 18k, prata e relógios premium.";"https://ui.awin.com/images/upload/merchant/profile/124930.png";"https://www.ivanjoias.com.br/"
"119291";"DAIKIN AR CONDICIONADO BRASIL LTDA.";"";"0.00";"0.00";"2026-06-17";"amber";"exposurelevel2";"0";"no";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"White Goods";"White Goods";"null";"BR";"A Daikin é uma multinacional japonesa especializada em ar-condicionado, climatização,refrigeração, aquecimento, purificação do ar e tecnologias HVAC (Heating, Ventilation and Air Conditioning).";"https://ui.awin.com/images/upload/merchant/profile/119291.png";"https://loja.daikin.com.br/"
"30599";"Stanley BR";"5.41566";"93.07";"1.59";"2022-06-22";"green";"none";"70.1224";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Gifts & Flowers";"Gifts & Flowers";"44";"BR";"A Stanley é uma marca de produtos térmicos que oferece uma ampla gama de equipamentos de alta qualidade. São opções ideais para qualquer momento, seja no escritório ou em viagens de aventura.";"https://ui.awin.com/images/upload/merchant/profile/30599.png";"https://www.stanley1913.com.br/"
"17823";"Locaweb BR";"5.64341";"86.52";"2.70";"2020-07-27";"amber";"exposurelevel2";"66.1823";"no";"no";"0";"0";"0.06";"0.06";"30";"Telco's & Services";"B2B Utility Services|Business Services (B2B)|Internet Service Provider|Utilities|Web Hosting";"Web Hosting";"71";"BR";"Líder em hospedagem de sites, a Locaweb é a empresa mais completa em soluções de tecnologia do Brasil.";"https://ui.awin.com/images/upload/merchant/profile/17823.png";"https://www.locaweb.com.br/"
"17858";"Electrolux BR";"8.64082";"94.24";"1.48";"2020-05-26";"amber";"exposurelevel2";"58.5313";"yes";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"White Goods";"White Goods";"85";"BR";"Líder mundial em eletrodomésticos e aparelhos de uso profissional, a Electrolux vende anualmente mais de 50 milhões de produtos em 150 países, o que equivale a dois eletro­domésticos comercializados por segundo, todos os dias do ano.";"https://ui.awin.com/images/upload/merchant/profile/17858.png";"https://loja.electrolux.com.br/"
"96499";"Ottocast";"3.98496";"85.37";"0.23";"2025-06-30";"green";"none";"48.4226";"yes";"yes";"0";"0";"0";"0";"45";"Retail & Shopping";"Automotive";"Automotive";"70";"US";"Ottocast offers top-tier CarPlay/Android Auto wireless adapters and CarPlay AI Boxes. With expert design, reliable quality, and global support, we welcome affiliates worldwide—no regional limits, just seamless car tech and trusted service.";"https://ui.awin.com/images/upload/merchant/profile/96499.png";"https://www.ottocast.com"
"61233";"Earfun, Inc";"4.91544";"100.00";"0.27";"2025-06-26";"green";"none";"80.6096";"yes";"yes";"0";"0";"0";"0";"30";"Finance & Insurance|Retail & Shopping|Telco's & Services|Travel";"Property|Computers|Electronic Accessories|FMCG|Gadgets|Music & DVD|Office Supplies|PC & Video Games|Utilities|Airlines|Tourism & Attractions";"Gadgets";"35";"US";"EarFun was founded in 2018 and is dedicated to the development of professional audio products. It has won many industry awards in the past 6 years. Join our affiliate program, make a win-win cooperation.";"https://ui.awin.com/images/upload/merchant/profile/61233.png";"https://www.myearfun.com"
"116721";"Aerow Chip Virtual BR";"1.08525";"100.00";"0.23";"2025-07-03";"amber";"exposurelevel2";"63.4415";"no";"yes";"0";"0";"0";"0";"30";"Telco's & Services";"Mobile Broadband";"Mobile Broadband";"91";"BR";"Apresentamos a Aerow, a plataforma que une tecnologia e mobilidade para transformar a forma como viajamos. Com conectividade global via eSIM, suporte em tempo real e um app completo, o Aerow oferece uma experiência de viagem sem barreiras.";"https://ui.awin.com/images/upload/merchant/profile/116721.png";"https://aerow.app/pt-BR"
"126139";"FansJerseyHub";"8.63761";"77.42";"0.48";"2026-04-20";"amber";"exposurelevel1";"82.8577";"no";"yes";"0";"0";"0";"0";"30";"";"Childrenswear|Clothing|Clothing Accessories|DIY|Group Buying|Menswear|Sports Equipment|Sportswear|Womenswear";"Sportswear";"null";"US";"High-converting football-inspired apparel brand built for affiliate profit. World Cup 2026 demand, competitive pricing, and strong social traffic. Exclusive coupons and TikTok-ready creatives boost conversions. 15 years focused on football apparel.";"https://ui.awin.com/images/upload/merchant/profile/126139.png";"https://fansjerseyhub1.com/"
"69428";"Ultrahuman Healthcare";"1.72073";"35.89";"0.46";"2025-07-21";"green";"none";"24.5841";"yes";"yes";"0";"0";"0";"0";"45";"Retail & Shopping";"Sports Equipment";"Sports Equipment";"69";"US";"Join Ultrahuman's Affiliate Program and shape the Future of Actionable Health Tracking!    The Ultrahuman Ring AIR offers advanced insights into your sleep quality, HRV, skin temperature, movement, and stress, without requiring a subscription.";"https://ui.awin.com/images/upload/merchant/profile/69428.png";"https://www.ultrahuman.com/"
"51277";"Trocafy BR";"2.21148";"62.63";"2.86";"2023-05-18";"green";"none";"44.0165";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Gadgets";"Gadgets";"61";"BR";"A Trocafy opera como uma plataforma online para a compra, venda e troca de produtos usados. O objetivo principal da empresa é proporcionar uma experiência conveniente e segura para que as pessoas possam negociar itens seminovos.";"https://ui.awin.com/images/upload/merchant/profile/51277.png";"https://www.trocafy.com.br/"
"17835";"Fotoregistro BR";"6.69055";"67.45";"0.59";"2020-08-28";"green";"none";"61.1001";"no";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Gifts & Flowers|Photography|Photos & Print Services";"Photos & Print Services";"42";"BR";"O FotoRegistro, parte do grupo Digipix, é uma loja online que possibilita a preservação de suas memórias de maneira criativa e inovadora.";"https://ui.awin.com/images/upload/merchant/profile/17835.png";"https://www.fotoregistro.com.br/"
"23385";"Emma BR";"0.25";"71.79";"2.13";"2022-03-08";"amber";"exposurelevel2";"32.7674";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Furniture & Soft Furnishings|Home & Garden";"Furniture & Soft Furnishings";"194";"BR";"Nascida na Alemanha e presente no Brasil desde 2019, a Emma é uma empresa que tem como missão proporcionar a melhor experiência de descanso para os nossos clientes. Nosso colchão Emma Original é o colchão mais premiado da Europa. Faça parte dessa missão.";"https://ui.awin.com/images/upload/merchant/profile/23385.png";"https://www.colchoesemma.com.br/"
"17665";"Carrefour BR";"3.24655";"87.30";"1.13";"2020-08-21";"green";"none";"64.6442";"no";"yes";"1.7";"1.7";"0";"0";"3";"Retail & Shopping";"Department Stores";"Department Stores";"49";"BR";"O Carrefour é o Hipermercado Número 1 da Europa e o maior varejista alimentar do Brasil. O Grupo Carrefour está presente na vida de mais de 100 milhões de consumidores da Europa, Ásia e América Latina.";"https://ui.awin.com/images/upload/merchant/profile/17665.png";"https://www.carrefour.com.br/"
"78382";"Panasonic BR";"4.08191";"80.20";"1.29";"2024-10-22";"green";"none";"64.9663";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Home & Garden|White Goods";"White Goods";"43";"BR";"Tudo pra sua casa com qualidade, economia e design de ponta.";"https://ui.awin.com/images/upload/merchant/profile/78382.png";"https://loja.panasonic.com.br/"
"106763";"Shark-Ninja BR";"4.54821";"92.27";"4.96";"2024-12-05";"green";"none";"71.2305";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Electronic Accessories|Health & Beauty";"Health & Beauty";"44";"BR";"Na Shark-Ninja fabricamos e distribuímos produtos inovadores para cuidados com o cabelo, limpeza doméstica e pequenos eletrodomésticos inovadores para facilitar sua vida todos os dias.";"https://ui.awin.com/images/upload/merchant/profile/106763.png";"https://www.sharkninjabrasil.com.br"
