Advertiser ID,Advertiser Name,Primary Region,Membership Status,Datafeed Format,Feed ID,Feed Name,Language,Vertical,Last Imported,Last Checked,No of products,URL
"78586","Needs No Label","GB","Not Joined","Google","F94","","English","Retail","2026-06-13 14:34:22","2026-06-13 14:34:22","973","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F94.csv.gz"
"115775","PAOLITA","GB","Not Joined","Google","F105","","English","Retail","2026-05-27 07:07:30","2026-05-27 07:07:30","1805","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F105.csv.gz"
"115783","Horow DE","DE","Not Joined","Google","F123","","German","Retail","2025-12-18 06:55:23","2025-12-18 06:55:23","293","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F123.csv.gz"
"115879","Super Genius Society","US","Not Joined","Google","F128","","English","Retail","2026-06-13 13:47:58","2026-06-13 13:47:58","126","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F128.csv.gz"
"69790","Doulton","GB","Not Joined","Google","F153","","English","Retail","2026-06-13 14:43:56","2026-06-13 14:43:56","71","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F153.csv.gz"
"115070","Foreverlyfe","US","Not Joined","Google","F167","","English","Retail","2026-05-16 17:45:17","2026-05-16 17:45:17","31","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F167.csv.gz"
"86627","GreatBeanBags.com","US","Not Joined","Google","F174","","English","Retail","2025-06-24 22:41:25","2025-06-24 22:41:25","215","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F174.csv.gz"
"115929","Audiobooks for everyone","US","Not Joined","Google","F176","","English","Retail","2026-06-13 14:05:20","2026-06-13 14:05:20","610","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F176.csv.gz"
"29549","BINU-Beauty Natural Korean Cosmetics DE","DE","Not Joined","Google","F182","","German","Retail","2026-06-13 13:44:05","2026-06-13 13:44:05","21","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F182.csv.gz"
"109636","Back to the Pets","GB","Not Joined","Google","F195","","English","Retail","2025-06-04 06:43:39","2025-06-04 06:43:39","7397","https://ui.awin.com/productdata-darwin-download/publisher/2933261/fa0ea60ea5f17aca3a0224f06ab4d131/1/feed/F195.csv.gz"
